ID_transecta	fecha	visit	hora	hora_decimal	flower_abun	estacion
saavedra	19-Jun-23	9	8:33	8.550	0	otoño
13_e_46_y_47	7-Aug-23	10	8:08	8.133	3	invierno
7_e_45_y_46	7-Aug-23	10	9:14	9.233	1	invierno
belgrano	7-Aug-23	10	8:37	8.617	1	invierno
bosque	7-Aug-23	10	10:28	10.467	0	invierno
san_martin	7-Aug-23	10	9:49	9.817	0	invierno
116_e_64_y_65	9-Aug-23	10	9:52	9.867	0	invierno
69_e_17_y_16	9-Aug-23	10	8:15	8.250	0	invierno
69_e_4_y_5	9-Aug-23	10	9:11	9.183	0	invierno
matheu	9-Aug-23	10	9:30	9.500	0	invierno
saavedra	9-Aug-23	10	8:40	8.667	0	invierno
13_e_46_y_47	21-Aug-23	11	8:15	8.250	1	invierno
7_e_45_y_46	21-Aug-23	11	8:59	8.983	1	invierno
belgrano	21-Aug-23	11	8:34	8.567	1	invierno
bosque	21-Aug-23	11	9:58	9.967	1	invierno
san_martin	21-Aug-23	11	9:27	9.450	0	invierno
116_e_64_y_65	26-Aug-23	11	9:46	9.767	0	invierno
69_e_17_y_16	26-Aug-23	11	8:14	8.233	0	invierno
69_e_4_y_5	26-Aug-23	11	9:07	9.117	0	invierno
matheu	26-Aug-23	11	9:28	9.467	0	invierno
saavedra	26-Aug-23	11	8:37	8.617	0	invierno
13_e_46_y_47	5-Oct-23	12	7:11	7.183	3	primavera
7_e_45_y_46	5-Oct-23	12	8:12	8.200	23	primavera
belgrano	5-Oct-23	12	7:38	7.633	1	primavera
bosque	5-Oct-23	12	9:22	9.367	16	primavera
san_martin	5-Oct-23	12	8:12	8.200	0	primavera
116_e_64_y_65	6-Oct-23	12	9:36	9.600	0	primavera
69_e_17_y_16	6-Oct-23	12	7:32	7.533	0	primavera
69_e_4_y_5	6-Oct-23	12	8:42	8.700	0	primavera
matheu	6-Oct-23	12	9:10	9.167	0	primavera
saavedra	6-Oct-23	12	8:04	8.067	0	primavera
